source,target,length,source_x,source_y
74,75,29.058,884914,-5.34846e+06
74,181,29.058,884914,-5.34846e+06
74,33,29.058,884914,-5.34846e+06
75,74,29.058,885151,-5.34838e+06
75,182,29.058,885151,-5.34838e+06
75,174,29.058,885151,-5.34838e+06
459,1154,29.058,894759,-5.3445e+06
459,1153,29.058,894759,-5.3445e+06
459,467,29.058,894759,-5.3445e+06
76,77,29.058,943242,-5.32938e+06
76,491,29.058,943242,-5.32938e+06
76,80,29.058,943242,-5.32938e+06
77,76,29.058,943813,-5.3292e+06
77,1001,29.058,943813,-5.3292e+06
77,490,29.058,943813,-5.3292e+06
1020,1044,29.058,881107,-5.34628e+06
1020,1045,29.058,881107,-5.34628e+06
1020,1326,29.058,881107,-5.34628e+06
469,470,29.058,896525,-5.34448e+06
469,310,29.058,896525,-5.34448e+06
469,314,29.058,896525,-5.34448e+06
78,79,29.058,897948,-5.34323e+06
79,78,29.058,897895,-5.34325e+06
79,921,29.058,897895,-5.34325e+06
79,928,29.058,897895,-5.34325e+06
79,929,29.058,897895,-5.34325e+06
79,805,29.058,897895,-5.34325e+06
79,804,29.058,897895,-5.34325e+06
1196,143,29.058,897633,-5.34328e+06
479,728,29.058,905983,-5.34042e+06
479,385,29.058,905983,-5.34042e+06
479,387,29.058,905983,-5.34042e+06
80,624,29.058,931247,-5.33322e+06
80,76,29.058,931247,-5.33322e+06
80,1330,29.058,931247,-5.33322e+06
801,802,29.058,883073,-5.3473e+06
1318,504,29.058,913849,-5.33721e+06
81,55,29.058,931209,-5.33323e+06
81,1331,29.058,931209,-5.33323e+06
81,489,29.058,931209,-5.33323e+06
960,961,29.058,882392,-5.34914e+06
1198,385,29.058,904533,-5.34088e+06
473,44,29.058,900107,-5.34322e+06
473,49,29.058,900107,-5.34322e+06
473,468,29.058,900107,-5.34322e+06
82,557,29.058,884623,-5.34854e+06
82,173,29.058,884623,-5.34854e+06
82,647,29.058,884623,-5.34854e+06
83,179,29.058,884582,-5.34856e+06
83,567,29.058,884582,-5.34856e+06
83,182,29.058,884582,-5.34856e+06
467,318,29.058,890046,-5.34569e+06
467,560,29.058,890046,-5.34569e+06
467,459,29.058,890046,-5.34569e+06
84,435,29.058,882786,-5.34942e+06
84,187,29.058,882786,-5.34942e+06
84,185,29.058,882786,-5.34942e+06
805,806,29.058,897837,-5.34327e+06
805,615,29.058,897837,-5.34327e+06
805,79,29.058,897837,-5.34327e+06
85,86,29.058,883563,-5.34906e+06
85,645,29.058,883563,-5.34906e+06
85,641,29.058,883563,-5.34906e+06
964,191,29.058,899512,-5.34341e+06
477,981,29.058,906519,-5.34107e+06
477,474,29.058,906519,-5.34107e+06
477,1179,29.058,906519,-5.34107e+06
86,85,29.058,883472,-5.34908e+06
1316,1223,29.058,901441,-5.34185e+06
87,2,29.058,900280,-5.34124e+06
88,817,29.058,911980,-5.33847e+06
88,656,29.058,911980,-5.33847e+06
88,819,29.058,911980,-5.33847e+06
809,810,29.058,893605,-5.34422e+06
1326,1020,29.058,881307,-5.34617e+06
89,113,29.058,915336,-5.33737e+06
89,637,29.058,915336,-5.33737e+06
89,856,29.058,915336,-5.33737e+06
968,967,29.058,901815,-5.34338e+06
968,901,29.058,901815,-5.34338e+06
968,1315,29.058,901815,-5.34338e+06
90,111,29.058,914398,-5.33765e+06
90,780,29.058,914398,-5.33765e+06
90,975,29.058,914398,-5.33765e+06
91,98,29.058,919384,-5.33607e+06
91,1231,29.058,919384,-5.33607e+06
91,107,29.058,919384,-5.33607e+06
475,948,29.058,904570,-5.34171e+06
475,474,29.058,904570,-5.34171e+06
475,468,29.058,904570,-5.34171e+06
92,628,29.058,910092,-5.33993e+06
92,522,29.058,910092,-5.33993e+06
92,1369,29.058,910092,-5.33993e+06
813,814,29.058,902018,-5.34136e+06
93,94,29.058,909390,-5.34013e+06
93,524,29.058,909390,-5.34013e+06
93,1277,29.058,909390,-5.34013e+06
972,935,29.058,886349,-5.34813e+06
94,93,29.058,908919,-5.3403e+06
94,947,29.058,908919,-5.3403e+06
94,523,29.058,908919,-5.3403e+06
1324,508,29.058,918368,-5.33767e+06
95,96,29.058,909814,-5.34005e+06
95,523,29.058,909814,-5.34005e+06
95,1247,29.058,909814,-5.34005e+06
1148,889,29.058,900099,-5.34253e+06
495,902,29.058,903395,-5.34282e+06
495,873,29.058,903395,-5.34282e+06
495,277,29.058,903395,-5.34282e+06
96,95,29.058,910196,-5.3399e+06
96,524,29.058,910196,-5.3399e+06
96,687,29.058,910196,-5.3399e+06
97,860,29.058,917313,-5.33674e+06
97,98,29.058,917313,-5.33674e+06
97,113,29.058,917313,-5.33674e+06
912,1144,29.058,901424,-5.34175e+06
1150,158,29.058,901954,-5.34131e+06
1150,161,29.058,901954,-5.34131e+06
1150,156,29.058,901954,-5.34131e+06
489,488,29.058,943050,-5.32944e+06
489,51,29.058,943050,-5.32944e+06
489,81,29.058,943050,-5.32944e+06
98,91,29.058,918682,-5.3363e+06
98,97,29.058,918682,-5.3363e+06
98,869,29.058,918682,-5.3363e+06
99,100,29.058,917893,-5.33656e+06
483,222,29.058,883583,-5.34736e+06
483,655,29.058,883583,-5.34736e+06
