Time,VehicleID,EdgeID,LaneIndex,Speed_mps,Accel_mps2,Pos_m,RouteIndex,WaitTime_s,OriginID,DestID
48.5998,221,1128,1,15.6452,2.71013e-06,451.067,5,0,561,656
48.5998,222,620,0,15.4696,0.0346765,160.968,3,0,157,212
48.5998,223,1164,2,20.051,0.00251929,126.621,9,0,597,150
48.5998,224,241,0,15.4961,0.00145771,189.535,5,0,480,112
48.5998,225,1094,0,14.5798,-0.155284,239.125,2,0,491,627
48.5998,226,818,0,15.5888,0.022046,179.938,7,0,489,117
48.5998,227,795,0,15.6449,-4.69784e-06,267.261,3,0,481,7
48.5998,228,436,3,20.0238,-0.00302863,75.1425,7,0,235,307
48.5998,229,529,2,19.918,0.000446688,84.2063,6,0,665,265
48.5998,230,24,0,14.2275,0.0787294,162.688,3,0,245,669
48.5998,231,773,0,15.5886,1.59913e-05,139.597,5,0,119,553
48.5998,236,748,0,15.6207,0.00769679,319.8,4,0,88,250
48.5998,237,715,0,19.4617,-0.0414922,351.161,7,0,672,18
48.5998,238,1052,0,15.2339,0.0567092,12.9795,5,0,427,142
48.5998,239,11,1,26.6463,0.444173,40.6571,9,0,497,571
48.5998,314,566,0,15.8373,-0.0780592,155.729,1,0,430,587
48.6998,0,1185,1,19.6507,0.136679,14.6047,8,0,656,102
48.6998,1,91,1,15.6335,-0.000362297,368.155,3,0,361,663
48.6998,2,1253,0,15.6377,-0.0215175,174.504,8,0,640,248
48.6998,3,1132,0,15.6449,-4.90931e-06,143.624,6,0,12,364
48.6998,4,567,0,15.6432,-2.38233e-05,67.7724,3,0,207,20
48.6998,5,305,0,15.6339,-0.000197041,56.1235,3,0,129,228
48.6998,6,1379,0,20.0352,0.0174312,12.2186,5,0,215,261
48.6998,7,362,0,19.2847,0.238227,102.923,5,0,609,399
48.6998,8,1003,0,15.64,-7.13269e-05,477.792,6,0,432,513
48.6998,9,682,0,19.3523,0.219874,125.096,4,0,467,61
48.6998,10,1249,0,19.977,-0.0944201,304.142,6,0,536,450
48.6998,11,460,3,15.6428,-2.40572e-05,47.5978,5,0,626,536
48.6998,12,129,0,15.6451,-4.6484e-06,31.0065,4,0,110,640
48.6998,13,593,0,15.6322,-0.000239184,534.697,2,0,143,641
48.6998,18,968,0,20.1045,-0.00660017,250.107,4,0,104,498
48.6998,19,1047,0,15.4842,-0.00945846,215.71,5,0,283,302
48.6998,20,89,0,14.9467,-0.0183016,121.406,3,0,157,655
48.6998,21,6,2,15.6448,-4.97021e-06,247.514,7,0,508,393
48.6998,22,435,0,19.8025,6.1702e-05,143.196,6,0,387,14
48.6998,23,1261,2,20.1021,-0.000186671,73.7838,7,0,666,395
48.6998,24,461,0,15.6373,0.00242279,1.98432,9,0,469,640
48.6998,25,281,0,19.6787,0.0285521,77.5305,6,0,462,91
48.6998,26,982,0,15.5881,-0.00204013,18.3504,6,0,683,229
48.6998,27,86,0,15.6446,-1.02003e-05,187.524,2,0,123,380
48.6998,28,37,1,15.4006,0.0954123,34.2957,6,0,230,670
48.6998,29,856,0,19.7308,0.00488331,389.957,4,0,447,277
48.6998,30,1385,0,20.1108,-4.75704e-05,39.7015,8,0,288,531
48.6998,31,157,0,14.6821,0.0135998,555.292,2,0,253,307
48.6998,32,1077,1,15.6451,-3.21938e-05,15.3419,4,0,461,289
48.6998,39,858,0,20.0887,0.00404587,40.414,4,0,176,306
48.6998,40,1294,1,15.6453,-1.31368e-05,123.559,3,0,401,126
48.6998,41,822,1,19.0128,0.292706,103.011,6,0,149,652
48.6998,42,665,0,15.6443,-1.41518e-05,110.12,4,0,124,488
48.6998,43,1114,0,15.6375,0.000486527,112.483,6,0,608,277
48.6998,44,1101,2,19.4523,0.148575,103.941,9,0,320,167
48.6998,45,1128,0,15.6452,-4.73407e-06,505.034,5,0,561,317
48.6998,46,804,2,17.5015,-0.256923,29.3962,4,0,192,11
48.6998,47,522,0,15.6442,-0.000415209,179.125,4,0,197,572
48.6998,48,650,2,20.0723,-0.0010464,46.5894,5,0,337,197
48.6998,49,943,0,15.6,-0.00144898,148.523,6,0,499,382
48.6998,50,620,0,15.2107,-0.00514952,26.6861,6,0,393,354
48.6998,51,1249,0,20.0206,-0.000462284,67.566,6,0,586,627
48.6998,52,1251,0,20.0722,-0.00102675,266.053,7,0,81,519
48.6998,55,668,2,18.4785,-0.0979756,185.591,6,0,127,216
48.6998,56,16,0,15.6557,-0.00431158,107.162,10,0,386,295
48.6998,57,593,0,15.6095,-0.00308918,67.4013,6,0,420,614
48.6998,58,834,1,19.5183,-0.10888,51.1382,6,0,434,596
48.6998,59,1052,0,15.5863,0.0225822,109.607,5,0,162,661
48.6998,60,703,0,20.1243,-0.00385348,387.57,2,0,294,44
48.6998,61,125,1,15.6638,-0.00947974,79.6238,6,0,588,255
48.6998,62,1162,2,18.6013,0.410979,85.6393,4,0,635,207
48.6998,63,856,1,19.8664,0.00144892,353.509,5,0,48,217
48.6998,64,383,0,15.5604,-0.000241592,182.039,6,0,69,580
48.6998,65,1187,1,15.6414,-6.84309e-05,245.796,2,0,600,551
48.6998,66,6,2,15.4971,-0.00122945,117.942,5,0,58,30
48.6998,70,822,2,20.0368,0.00511723,79.8631,10,0,323,32
48.6998,71,632,0,15.6441,-1.31226e-05,9.4669,7,0,29,622
48.6998,72,1192,1,15.6416,-3.69628e-05,113.713,4,0,552,77
48.6998,73,1159,0,19.7598,0.0526599,11.9463,4,0,237,135
48.6998,74,314,1,15.6432,-2.36949e-05,12.3559,4,0,36,91
48.6998,75,834,1,20.0398,-0.00514257,120.809,6,0,621,636
48.6998,76,826,0,17.1682,-0.731647,39.2501,8,0,152,422
48.6998,77,1185,0,19.6255,-0.0379043,189.851,6,0,285,520
48.6998,78,48,0,18.3225,0.455206,3.92593,8,0,455,479
48.6998,79,856,1,20.0849,0.00209309,496.611,3,0,355,146
48.6998,80,24,0,15.6266,-0.000398483,201.238,3,0,201,83
48.6998,81,461,3,15.4754,-0.00867786,198.424,4,0,180,339
48.6998,82,945,2,15.6362,0.00343662,123.431,5,0,516,555
48.6998,83,967,0,15.8258,-0.166772,72.4453,4,0,369,401
48.6998,87,1003,0,15.5868,-0.0184134,82.2887,7,0,498,124
48.6998,88,620,1,7.17838,-1.46367,151.529,4,0,687,255
48.6998,89,335,1,14.8366,0.191005,0.915672,6,0,362,616
48.6998,90,335,2,15.3843,0.100981,42.5183,6,0,227,346
48.6998,91,567,0,15.0447,0.0101738,5.29377,3,0,301,20
48.6998,92,773,0,15.6452,-4.62122e-06,353.38,4,0,458,157
48.6998,93,102,1,15.6309,-0.000615999,249.837,7,0,619,465
48.6998,94,574,1,15.5887,-0.00372872,188.192,5,0,115,244
48.6998,95,383,0,15.6393,-8.14454e-05,628.906,2,0,397,655
48.6998,96,1098,0,15.6414,-0.00031217,390.355,1,0,453,514
48.6998,97,728,0,17.2856,0.693319,34.2946,5,0,443,185
48.6998,98,1393,2,20.1039,-4.29223e-05,78.2399,8,0,649,250
48.6998,99,703,1,20.1092,0.000448091,303.841,4,0,300,139
48.6998,100,698,0,19.4341,0.160271,195.31,7,0,535,450
48.6998,102,330,1,13.8731,0.134455,178.793,6,0,223,299
48.6998,103,599,0,19.3481,0.219589,123.914,3,0,16,225
48.6998,104,1128,0,15.6259,-3.54624e-06,146.613,6,0,564,571
48.6998,105,383,0,15.5302,-9.13013e-05,359.021,4,0,251,113
48.6998,106,713,0,15.635,-0.000168207,89.7209,7,0,547,147
48.6998,107,1150,2,18.636,0.150718,71.6102,4,0,558,499
48.6998,108,943,0,14.9814,-0.0576045,95.6415,6,0,499,339
48.6998,109,711,0,20.0337,0.0246753,11.8629,8,0,673,575
48.6998,110,1052,1,15.5717,-0.014897,239.379,6,0,112,395
48.6998,111,748,1,15.6317,0.000516693,296.62,3,0,185,215
48.6998,112,22,0,15.6227,-0.000523265,39.2794,5,0,82,94
48.6998,118,858,1,20.0827,0.00930664,303.024,2,0,175,98
48.6998,119,967,0,15.6441,-6.71282e-05,437.833,2,0,367,3
